Id2,Id,Estimate; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage
12001000200,1400000US12001000200,370,227,48,48,0,0,179,143
12001000200,1400000US12001000200,103,95,37,37,0,0,58,8
12001000200,1400000US12001000200,103,95,37,37,0,0,58,8
12001000200,1400000US12001000200,255,120,11,11,0,0,109,135
12001000200,1400000US12001000200,255,120,11,11,0,0,109,135
12001000200,1400000US12001000200,82,74,16,16,0,0,58,8
12001000200,1400000US12001000200,82,74,16,16,0,0,58,8
12001000200,1400000US12001000200,255,120,11,11,0,0,109,135
12001000200,1400000US12001000200,255,120,11,11,0,0,109,135
12001000301,1400000US12001000301,225,112,8,0,8,0,104,113
12001000301,1400000US12001000301,189,104,8,0,8,0,96,85
12001000301,1400000US12001000301,200,104,8,0,8,0,96,96
12001000301,1400000US12001000301,189,104,8,0,8,0,96,85
12001000301,1400000US12001000301,200,104,8,0,8,0,96,96
12001000302,1400000US12001000302,392,165,0,0,0,0,165,227
12001000302,1400000US12001000302,364,137,0,0,0,0,137,227
12001000302,1400000US12001000302,379,152,0,0,0,0,152,227
12001000302,1400000US12001000302,351,124,0,0,0,0,124,227
12001000302,1400000US12001000302,366,139,0,0,0,0,139,227
12001000400,1400000US12001000400,1384,1097,178,29,149,11,908,287
12001000400,1400000US12001000400,593,416,48,15,33,11,357,177
12001000400,1400000US12001000400,604,427,48,15,33,11,368,177
12001000400,1400000US12001000400,746,647,130,14,116,0,517,99
12001000400,1400000US12001000400,757,658,130,14,116,0,528,99
12001000400,1400000US12001000400,570,403,48,15,33,11,344,167
12001000400,1400000US12001000400,581,414,48,15,33,11,355,167
12001000400,1400000US12001000400,746,647,130,14,116,0,517,99
12001000400,1400000US12001000400,757,658,130,14,116,0,528,99
12001000500,1400000US12001000500,1044,755,270,76,194,29,456,289
12001000500,1400000US12001000500,910,663,270,76,194,29,364,247
12001000500,1400000US12001000500,910,663,270,76,194,29,364,247
12001000500,1400000US12001000500,910,663,270,76,194,29,364,247
12001000500,1400000US12001000500,910,663,270,76,194,29,364,247
12001000600,1400000US12001000600,712,423,39,6,33,0,384,289
12001000600,1400000US12001000600,586,356,28,6,22,0,328,230
12001000600,1400000US12001000600,591,361,28,6,22,0,333,230
12001000600,1400000US12001000600,586,356,28,6,22,0,328,230
12001000600,1400000US12001000600,591,361,28,6,22,0,333,230
12001000700,1400000US12001000700,1544,1101,48,15,33,19,1034,443
12001000700,1400000US12001000700,341,197,27,5,22,19,151,144
12001000700,1400000US12001000700,348,204,27,5,22,19,158,144
12001000700,1400000US12001000700,1191,892,21,10,11,0,871,299
12001000700,1400000US12001000700,1191,892,21,10,11,0,871,299
12001000700,1400000US12001000700,318,174,27,5,22,19,128,144
12001000700,1400000US12001000700,325,181,27,5,22,19,135,144
12001000700,1400000US12001000700,1191,892,21,10,11,0,871,299
12001000700,1400000US12001000700,1191,892,21,10,11,0,871,299
12001000806,1400000US12001000806,147,147,13,5,8,0,134,0
12001000806,1400000US12001000806,139,139,5,5,0,0,134,0
12001000806,1400000US12001000806,147,147,13,5,8,0,134,0
12001000806,1400000US12001000806,139,139,5,5,0,0,134,0
12001000806,1400000US12001000806,147,147,13,5,8,0,134,0
12001000808,1400000US12001000808,147,115,11,0,11,40,64,32
12001000808,1400000US12001000808,124,92,11,0,11,40,41,32
12001000808,1400000US12001000808,124,92,11,0,11,40,41,32
12001000808,1400000US12001000808,0,0,0,0,0,0,0,0
12001000808,1400000US12001000808,0,0,0,0,0,0,0,0
12001000808,1400000US12001000808,113,92,11,0,11,40,41,21
12001000808,1400000US12001000808,113,92,11,0,11,40,41,21
12001000808,1400000US12001000808,0,0,0,0,0,0,0,0
12001000808,1400000US12001000808,0,0,0,0,0,0,0,0
12001000809,1400000US12001000809,224,136,0,0,0,0,136,88
12001000809,1400000US12001000809,196,126,0,0,0,0,126,70
12001000809,1400000US12001000809,196,126,0,0,0,0,126,70
12001000809,1400000US12001000809,173,126,0,0,0,0,126,47
12001000901,1400000US12001000901,0,0,0,0,0,0,0,0
12001000901,1400000US12001000901,0,0,0,0,0,0,0,0
12001000901,1400000US12001000901,0,0,0,0,0,0,0,0
12001000901,1400000US12001000901,0,0,0,0,0,0,0,0
12001000901,1400000US12001000901,0,0,0,0,0,0,0,0
12001000901,1400000US12001000901,0,0,0,0,0,0,0,0
12001000901,1400000US12001000901,0,0,0,0,0,0,0,0
12001000901,1400000US12001000901,0,0,0,0,0,0,0,0
12001000901,1400000US12001000901,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0
12001001000,1400000US12001001000,969,468,125,33,92,35,308,501
12001001000,1400000US12001001000,945,444,125,33,92,35,284,501
12001001000,1400000US12001001000,945,444,125,33,92,35,284,501
12001001000,1400000US12001001000,904,435,125,33,92,35,275,469
12001001000,1400000US12001001000,904,435,125,33,92,35,275,469
12001001000,1400000US12001001000,253,119,37,16,21,0,82,134
12001001000,1400000US12001001000,176,82,24,16,8,0,58,94
12001001100,1400000US12001001100,2445,1532,384,85,299,13,1135,913
12001001100,1400000US12001001100,2108,1297,330,62,268,13,954,811
12001001100,1400000US12001001100,2118,1297,330,62,268,13,954,821
12001001100,1400000US12001001100,2019,1208,284,62,222,13,911,811
12001001100,1400000US12001001100,2019,1208,284,62,222,13,911,811
12001001100,1400000US12001001100,487,290,70,15,55,0,220,197
12001001100,1400000US12001001100,530,345,115,25,90,0,230,185
12001001100,1400000US12001001100,341,286,42,9,33,0,244,55
12001001201,1400000US12001001201,862,566,252,62,190,0,314,296
12001001201,1400000US12001001201,748,466,212,62,150,0,254,282
12001001201,1400000US12001001201,748,466,212,62,150,0,254,282
12001001201,1400000US12001001201,705,433,212,62,150,0,221,272
12001001201,1400000US12001001201,705,433,212,62,150,0,221,272
12001001202,1400000US12001001202,1961,1379,324,129,195,13,1042,582
12001001202,1400000US12001001202,1761,1239,285,90,195,13,941,522
12001001202,1400000US12001001202,1761,1239,285,90,195,13,941,522
12001001202,1400000US12001001202,1633,1111,273,78,195,13,825,522
12001001202,1400000US12001001202,1633,1111,273,78,195,13,825,522
12001001202,1400000US12001001202,298,118,19,12,7,0,99,180
12001001202,1400000US12001001202,353,212,47,0,47,13,152,141
12001001202,1400000US12001001202,352,297,47,12,35,0,250,55
12001001203,1400000US12001001203,766,511,83,9,74,0,428,255
12001001203,1400000US12001001203,586,355,69,9,60,0,286,231
12001001203,1400000US12001001203,586,355,69,9,60,0,286,231
12001001203,1400000US12001001203,529,340,69,9,60,0,271,189
12001001203,1400000US12001001203,529,340,69,9,60,0,271,189
12001001400,1400000US12001001400,651,476,45,18,27,0,431,175
12001001400,1400000US12001001400,240,131,23,11,12,0,108,109
12001001400,1400000US12001001400,245,136,23,11,12,0,113,109
12001001400,1400000US12001001400,390,324,22,7,15,0,302,66
12001001400,1400000US12001001400,395,329,22,7,15,0,307,66
12001001400,1400000US12001001400,228,119,11,11,0,0,108,109
12001001400,1400000US12001001400,233,124,11,11,0,0,113,109
12001001400,1400000US12001001400,390,324,22,7,15,0,302,66
12001001400,1400000US12001001400,395,329,22,7,15,0,307,66
12001001515,1400000US12001001515,130,98,0,0,0,0,98,32
12001001515,1400000US12001001515,115,83,0,0,0,0,83,32
12001001515,1400000US12001001515,115,83,0,0,0,0,83,32
12001001515,1400000US12001001515,115,83,0,0,0,0,83,32
12001001515,1400000US12001001515,115,83,0,0,0,0,83,32
12001001516,1400000US12001001516,175,70,13,0,13,0,57,105
12001001516,1400000US12001001516,148,57,0,0,0,0,57,91
12001001516,1400000US12001001516,148,57,0,0,0,0,57,91
12001001516,1400000US12001001516,116,57,0,0,0,0,57,59
12001001516,1400000US12001001516,116,57,0,0,0,0,57,59
12001001517,1400000US12001001517,252,167,27,27,0,0,140,85
12001001517,1400000US12001001517,151,90,27,27,0,0,63,61
12001001517,1400000US12001001517,151,90,27,27,0,0,63,61
12001001517,1400000US12001001517,151,90,27,27,0,0,63,61
12001001517,1400000US12001001517,151,90,27,27,0,0,63,61
12001001519,1400000US12001001519,13,13,0,0,0,0,13,0
12001001519,1400000US12001001519,13,13,0,0,0,0,13,0
12001001519,1400000US12001001519,13,13,0,0,0,0,13,0
12001001520,1400000US12001001520,126,83,11,0,11,0,72,43
12001001520,1400000US12001001520,84,72,0,0,0,0,72,12
12001001520,1400000US12001001520,84,72,0,0,0,0,72,12
12001001520,1400000US12001001520,36,36,0,0,0,0,36,0
12001001520,1400000US12001001520,36,36,0,0,0,0,36,0
12001001521,1400000US12001001521,196,157,13,0,13,0,144,39
12001001521,1400000US12001001521,112,112,13,0,13,0,99,0
12001001521,1400000US12001001521,117,112,13,0,13,0,99,5
12001001521,1400000US12001001521,112,112,13,0,13,0,99,0
12001001521,1400000US12001001521,117,112,13,0,13,0,99,5
12001001603,1400000US12001001603,376,246,66,0,66,0,180,130
12001001603,1400000US12001001603,325,225,45,0,45,0,180,100
12001001604,1400000US12001001604,774,502,117,32,85,0,385,272
12001001604,1400000US12001001604,749,477,105,32,73,0,372,272
12001001604,1400000US12001001604,749,477,105,32,73,0,372,272
12001001604,1400000US12001001604,694,422,105,32,73,0,317,272
12001001604,1400000US12001001604,694,422,105,32,73,0,317,272
12001001701,1400000US12001001701,1235,891,248,41,207,0,643,344
12001001701,1400000US12001001701,988,720,218,31,187,0,502,268
12001001701,1400000US12001001701,1008,720,218,31,187,0,502,288
12001001701,1400000US12001001701,918,674,218,31,187,0,456,244
12001001701,1400000US12001001701,918,674,218,31,187,0,456,244
12001001701,1400000US12001001701,171,122,14,0,14,0,108,49
12001001701,1400000US12001001701,220,169,77,11,66,0,92,51
12001001701,1400000US12001001701,170,123,48,21,27,0,75,47
12001001702,1400000US12001001702,1728,954,157,0,157,0,797,774
12001001702,1400000US12001001702,1567,855,157,0,157,0,698,712
12001001702,1400000US12001001702,1577,855,157,0,157,0,698,722
12001001702,1400000US12001001702,1567,855,157,0,157,0,698,712
12001001702,1400000US12001001702,1577,855,157,0,157,0,698,722
12001001702,1400000US12001001702,481,316,18,0,18,0,298,165
12001001702,1400000US12001001702,395,207,21,0,21,0,186,188
12001001801,1400000US12001001801,2096,1140,131,50,81,45,964,956
12001001801,1400000US12001001801,1716,914,110,50,60,45,759,802
12001001801,1400000US12001001801,1777,926,122,50,72,45,759,851
12001001801,1400000US12001001801,1686,892,110,50,60,45,737,794
12001001801,1400000US12001001801,1747,904,122,50,72,45,737,843
12001001801,1400000US12001001801,297,161,23,14,9,21,117,136
12001001802,1400000US12001001802,906,411,33,11,22,0,378,495
12001001802,1400000US12001001802,636,309,23,11,12,0,286,327
12001001802,1400000US12001001802,636,309,23,11,12,0,286,327
12001001802,1400000US12001001802,556,286,23,11,12,0,263,270
12001001802,1400000US12001001802,556,286,23,11,12,0,263,270
12001001803,1400000US12001001803,2174,1516,346,111,235,0,1170,658
12001001803,1400000US12001001803,1805,1223,289,78,211,0,934,582
12001001803,1400000US12001001803,1856,1258,289,78,211,0,969,598
12001001803,1400000US12001001803,139,139,19,4,15,0,120,0
12001001803,1400000US12001001803,166,166,19,4,15,0,147,0
12001001803,1400000US12001001803,1675,1121,268,78,190,0,853,554
12001001803,1400000US12001001803,1726,1156,268,78,190,0,888,570
12001001803,1400000US12001001803,124,124,19,4,15,0,105,0
12001001803,1400000US12001001803,151,151,19,4,15,0,132,0
12001001803,1400000US12001001803,426,240,67,0,67,0,173,186
12001001803,1400000US12001001803,417,293,87,40,47,0,206,124
12001001805,1400000US12001001805,558,390,110,0,110,0,280,168
12001001805,1400000US12001001805,475,378,110,0,110,0,268,97
12001001805,1400000US12001001805,475,378,110,0,110,0,268,97
12001001805,1400000US12001001805,475,378,110,0,110,0,268,97
12001001805,1400000US12001001805,475,378,110,0,110,0,268,97
12001001806,1400000US12001001806,2884,1910,411,43,368,85,1414,974
12001001806,1400000US12001001806,2564,1652,391,33,358,85,1176,912
12001001806,1400000US12001001806,2573,1661,391,33,358,85,1185,912
12001001806,1400000US12001001806,274,212,10,0,10,0,202,62
12001001806,1400000US12001001806,274,212,10,0,10,0,202,62
12001001806,1400000US12001001806,2468,1583,371,21,350,85,1127,885
12001001806,1400000US12001001806,2477,1592,371,21,350,85,1136,885
12001001806,1400000US12001001806,274,212,10,0,10,0,202,62
12001001806,1400000US12001001806,274,212,10,0,10,0,202,62
12001001806,1400000US12001001806,449,310,81,0,81,0,229,139
12001001806,1400000US12001001806,621,415,96,12,84,52,267,206
12001001806,1400000US12001001806,404,241,69,0,69,0,172,163
12001001806,1400000US12001001806,228,139,36,0,36,0,103,89
12001001811,1400000US12001001811,1182,828,181,53,128,10,637,354
12001001811,1400000US12001001811,1049,731,181,53,128,10,540,318
12001001811,1400000US12001001811,1049,731,181,53,128,10,540,318
12001001811,1400000US12001001811,133,97,0,0,0,0,97,36
12001001811,1400000US12001001811,995,694,172,53,119,10,512,301
12001001811,1400000US12001001811,995,694,172,53,119,10,512,301
12001001811,1400000US12001001811,133,97,0,0,0,0,97,36
12001001811,1400000US12001001811,188,92,30,9,21,0,62,96
12001001813,1400000US12001001813,985,795,118,40,78,22,655,190
12001001813,1400000US12001001813,943,753,118,40,78,22,613,190
12001001813,1400000US12001001813,943,753,118,40,78,22,613,190
12001001813,1400000US12001001813,862,672,85,21,64,22,565,190
12001001813,1400000US12001001813,862,672,85,21,64,22,565,190
12001001814,1400000US12001001814,761,568,197,27,170,66,305,193
12001001814,1400000US12001001814,743,551,197,27,170,66,288,192
12001001814,1400000US12001001814,743,551,197,27,170,66,288,192
12001001814,1400000US12001001814,743,551,197,27,170,66,288,192
12001001814,1400000US12001001814,743,551,197,27,170,66,288,192
12001001902,1400000US12001001902,399,161,16,16,0,0,145,238
12001001902,1400000US12001001902,234,69,16,16,0,0,53,165
12001001902,1400000US12001001902,251,86,16,16,0,0,70,165
12001001902,1400000US12001001902,148,75,0,0,0,0,75,73
12001001902,1400000US12001001902,148,75,0,0,0,0,75,73
12001001902,1400000US12001001902,234,69,16,16,0,0,53,165
12001001902,1400000US12001001902,251,86,16,16,0,0,70,165
12001001902,1400000US12001001902,148,75,0,0,0,0,75,73
12001001902,1400000US12001001902,148,75,0,0,0,0,75,73
12001001907,1400000US12001001907,858,461,149,26,123,0,312,397
12001001907,1400000US12001001907,713,366,149,26,123,0,217,347
12001001907,1400000US12001001907,720,366,149,26,123,0,217,354
12001001907,1400000US12001001907,713,366,149,26,123,0,217,347
12001001907,1400000US12001001907,720,366,149,26,123,0,217,354
12001001908,1400000US12001001908,1584,886,96,20,76,14,776,698
12001001908,1400000US12001001908,1213,624,63,0,63,14,547,589
12001001908,1400000US12001001908,1269,667,63,0,63,14,590,602
12001001908,1400000US12001001908,315,219,33,20,13,0,186,96
12001001908,1400000US12001001908,358,262,33,20,13,0,229,96
12001001908,1400000US12001001908,1161,572,63,0,63,14,495,589
12001001908,1400000US12001001908,1217,615,63,0,63,14,538,602
12001001908,1400000US12001001908,315,219,33,20,13,0,186,96
12001001908,1400000US12001001908,358,262,33,20,13,0,229,96
12001002000,1400000US12001002000,1687,776,76,14,62,0,700,911
12001002000,1400000US12001002000,1351,615,56,6,50,0,559,736
12001002000,1400000US12001002000,1364,615,56,6,50,0,559,749
12001002000,1400000US12001002000,270,111,20,8,12,0,91,159
12001002000,1400000US12001002000,270,111,20,8,12,0,91,159
12001002000,1400000US12001002000,1351,615,56,6,50,0,559,736
12001002000,1400000US12001002000,1364,615,56,6,50,0,559,749
12001002000,1400000US12001002000,270,111,20,8,12,0,91,159
12001002000,1400000US12001002000,270,111,20,8,12,0,91,159
12001002000,1400000US12001002000,267,109,9,0,9,0,100,158
12001002000,1400000US12001002000,288,169,6,0,6,0,163,119
12001002000,1400000US12001002000,325,161,0,0,0,0,161,164
12001002101,1400000US12001002101,629,358,83,30,53,10,265,271
12001002101,1400000US12001002101,466,239,67,19,48,0,172,227
12001002101,1400000US12001002101,475,240,68,19,49,0,172,235
12001002101,1400000US12001002101,436,218,46,19,27,0,172,218
12001002101,1400000US12001002101,445,219,47,19,28,0,172,226
12001002102,1400000US12001002102,388,226,53,5,48,0,173,162
12001002102,1400000US12001002102,285,166,53,5,48,0,113,119
12001002102,1400000US12001002102,286,167,53,5,48,0,114,119
12001002102,1400000US12001002102,285,166,53,5,48,0,113,119
12001002102,1400000US12001002102,286,167,53,5,48,0,114,119
12001002201,1400000US12001002201,1208,881,166,66,100,7,708,327
12001002201,1400000US12001002201,984,700,166,66,100,7,527,284
12001002201,1400000US12001002201,1057,760,166,66,100,7,587,297
12001002201,1400000US12001002201,947,681,161,66,95,7,513,266
12001002201,1400000US12001002201,1007,741,161,66,95,7,573,266
12001002201,1400000US12001002201,289,224,54,11,43,0,170,65
12001002201,1400000US12001002201,302,245,51,20,31,0,194,57
12001002202,1400000US12001002202,1843,1222,227,50,177,0,995,621
12001002202,1400000US12001002202,1689,1090,227,50,177,0,863,599
12001002202,1400000US12001002202,1689,1090,227,50,177,0,863,599
12001002202,1400000US12001002202,1623,1031,214,50,164,0,817,592
12001002202,1400000US12001002202,1623,1031,214,50,164,0,817,592
12001002202,1400000US12001002202,340,206,28,0,28,0,178,134
12001002202,1400000US12001002202,270,206,26,0,26,0,180,64
12001002202,1400000US12001002202,280,184,56,0,56,0,128,96
12001002202,1400000US12001002202,282,168,48,11,37,0,120,114
12001002204,1400000US12001002204,2878,1994,561,148,413,93,1340,884
12001002204,1400000US12001002204,2446,1669,391,63,328,93,1185,777
12001002204,1400000US12001002204,2473,1696,418,63,355,93,1185,777
12001002204,1400000US12001002204,182,143,67,25,42,0,76,39
12001002204,1400000US12001002204,207,168,78,25,53,0,90,39
12001002204,1400000US12001002204,2404,1638,391,63,328,93,1154,766
12001002204,1400000US12001002204,2431,1665,418,63,355,93,1154,766
12001002204,1400000US12001002204,182,143,67,25,42,0,76,39
12001002204,1400000US12001002204,193,154,78,25,53,0,76,39
12001002204,1400000US12001002204,479,269,80,23,57,64,125,210
12001002204,1400000US12001002204,610,377,64,12,52,0,313,233
12001002204,1400000US12001002204,280,196,90,11,79,0,106,84
12001002204,1400000US12001002204,238,171,67,0,67,0,104,67
12001002205,1400000US12001002205,3056,2209,685,119,566,48,1476,847
12001002205,1400000US12001002205,2834,1999,633,101,532,48,1318,835
12001002205,1400000US12001002205,2846,1999,633,101,532,48,1318,847
12001002205,1400000US12001002205,140,140,21,10,11,0,119,0
12001002205,1400000US12001002205,140,140,21,10,11,0,119,0
12001002205,1400000US12001002205,129,117,51,0,51,6,60,12
12001002205,1400000US12001002205,2719,1896,596,101,495,42,1258,823
12001002205,1400000US12001002205,2731,1896,596,101,495,42,1258,835
12001002205,1400000US12001002205,140,140,21,10,11,0,119,0
12001002205,1400000US12001002205,140,140,21,10,11,0,119,0
12001002205,1400000US12001002205,533,353,104,16,88,13,236,180
12001002205,1400000US12001002205,722,506,140,34,106,0,366,216
12001002205,1400000US12001002205,422,271,84,35,49,12,175,151
12001002205,1400000US12001002205,288,271,103,0,103,0,168,17
12001002207,1400000US12001002207,1374,1006,446,84,362,8,552,368
12001002207,1400000US12001002207,1209,925,382,84,298,8,535,284
12001002207,1400000US12001002207,1209,925,382,84,298,8,535,284
12001002207,1400000US12001002207,1148,864,354,84,270,8,502,284
12001002207,1400000US12001002207,1148,864,354,84,270,8,502,284
12001002207,1400000US12001002207,246,194,94,0,94,0,100,52
12001002207,1400000US12001002207,332,284,84,48,36,8,192,48
12001002208,1400000US12001002208,914,653,208,46,162,46,399,261
12001002208,1400000US12001002208,824,563,191,46,145,46,326,261
12001002208,1400000US12001002208,824,563,191,46,145,46,326,261
12001002208,1400000US12001002208,726,465,160,30,130,0,305,261
12001002208,1400000US12001002208,726,465,160,30,130,0,305,261
12001002208,1400000US12001002208,165,107,70,10,60,0,37,58
12001002209,1400000US12001002209,2291,1784,440,93,347,0,1344,507
12001002209,1400000US12001002209,1847,1456,319,46,273,0,1137,391
12001002209,1400000US12001002209,1869,1465,319,46,273,0,1146,404
12001002209,1400000US12001002209,248,165,60,20,40,0,105,83
12001002209,1400000US12001002209,261,165,60,20,40,0,105,96
12001002209,1400000US12001002209,1811,1420,319,46,273,0,1101,391
12001002209,1400000US12001002209,1833,1429,319,46,273,0,1110,404
12001002209,1400000US12001002209,248,165,60,20,40,0,105,83
12001002209,1400000US12001002209,261,165,60,20,40,0,105,96
12001002209,1400000US12001002209,325,214,50,29,21,0,164,111
12001002209,1400000US12001002209,324,269,72,0,72,0,197,55
12001002209,1400000US12001002209,221,184,47,0,47,0,137,37
12001002210,1400000US12001002210,1484,1113,222,77,145,0,891,371
12001002210,1400000US12001002210,1325,1022,210,65,145,0,812,303
12001002210,1400000US12001002210,1331,1022,210,65,145,0,812,309
12001002210,1400000US12001002210,153,91,12,12,0,0,79,62
12001002210,1400000US12001002210,153,91,12,12,0,0,79,62
12001002210,1400000US12001002210,1185,916,164,65,99,0,752,269
12001002210,1400000US12001002210,1191,916,164,65,99,0,752,275
12001002210,1400000US12001002210,153,91,12,12,0,0,79,62
12001002210,1400000US12001002210,153,91,12,12,0,0,79,62
12001002217,1400000US12001002217,373,232,21,21,0,0,211,141
12001002217,1400000US12001002217,286,224,21,21,0,0,203,62
12001002217,1400000US12001002217,286,224,21,21,0,0,203,62
12001002217,1400000US12001002217,67,8,0,0,0,0,8,59
12001002217,1400000US12001002217,67,8,0,0,0,0,8,59
12001002217,1400000US12001002217,286,224,21,21,0,0,203,62
12001002217,1400000US12001002217,286,224,21,21,0,0,203,62
12001002217,1400000US12001002217,67,8,0,0,0,0,8,59
12001002217,1400000US12001002217,67,8,0,0,0,0,8,59
12001002218,1400000US12001002218,370,331,45,20,25,0,286,39
12001002218,1400000US12001002218,301,276,15,0,15,0,261,25
12001002218,1400000US12001002218,315,276,15,0,15,0,261,39
12001002218,1400000US12001002218,44,30,30,20,10,0,0,14
12001002218,1400000US12001002218,276,251,15,0,15,0,236,25
12001002219,1400000US12001002219,755,391,44,21,23,0,347,364
12001002219,1400000US12001002219,686,322,37,14,23,0,285,364
12001002219,1400000US12001002219,691,327,37,14,23,0,290,364
12001002219,1400000US12001002219,43,43,7,7,0,0,36,0
12001002219,1400000US12001002219,48,48,7,7,0,0,41,0
12001002219,1400000US12001002219,673,309,37,14,23,0,272,364
12001002219,1400000US12001002219,673,309,37,14,23,0,272,364
12001002219,1400000US12001002219,43,43,7,7,0,0,36,0
12001002219,1400000US12001002219,43,43,7,7,0,0,36,0
12001002220,1400000US12001002220,567,285,59,23,36,0,226,282
12001002220,1400000US12001002220,411,191,48,23,25,0,143,220
12001002220,1400000US12001002220,422,202,59,23,36,0,143,220
12001002220,1400000US12001002220,405,185,48,23,25,0,137,220
12001002220,1400000US12001002220,416,196,59,23,36,0,137,220
12001110800,1400000US12001110800,430,256,30,0,30,0,226,174
12001110800,1400000US12001110800,407,233,18,0,18,0,215,174
12001110800,1400000US12001110800,419,245,30,0,30,0,215,174
12001110800,1400000US12001110800,369,195,18,0,18,0,177,174
12001110800,1400000US12001110800,369,195,18,0,18,0,177,174
12003040101,1400000US12003040101,1437,1017,215,57,158,14,788,420
12003040101,1400000US12003040101,1312,921,183,25,158,14,724,391
12003040101,1400000US12003040101,1366,957,207,49,158,14,736,409
12003040101,1400000US12003040101,1312,921,183,25,158,14,724,391
12003040101,1400000US12003040101,1366,957,207,49,158,14,736,409
12003040101,1400000US12003040101,330,234,41,13,28,0,193,96
12003040101,1400000US12003040101,186,126,50,12,38,0,76,60
12003040102,1400000US12003040102,1878,1139,86,28,58,56,997,739
12003040102,1400000US12003040102,1569,914,86,28,58,56,772,655
12003040102,1400000US12003040102,1569,914,86,28,58,56,772,655
12003040102,1400000US12003040102,294,225,0,0,0,0,225,69
12003040102,1400000US12003040102,309,225,0,0,0,0,225,84
12003040102,1400000US12003040102,1543,888,86,28,58,30,772,655
12003040102,1400000US12003040102,1543,888,86,28,58,30,772,655
12003040102,1400000US12003040102,294,225,0,0,0,0,225,69
12003040102,1400000US12003040102,309,225,0,0,0,0,225,84
12003040102,1400000US12003040102,291,215,7,7,0,0,208,76
12003040102,1400000US12003040102,291,195,0,0,0,30,165,96
12003040201,1400000US12003040201,1623,833,126,0,126,0,707,790
12003040201,1400000US12003040201,1422,702,126,0,126,0,576,720
12003040201,1400000US12003040201,1422,702,126,0,126,0,576,720
12003040201,1400000US12003040201,171,101,0,0,0,0,101,70
12003040201,1400000US12003040201,171,101,0,0,0,0,101,70
12003040201,1400000US12003040201,1422,702,126,0,126,0,576,720
12003040201,1400000US12003040201,1422,702,126,0,126,0,576,720
12003040201,1400000US12003040201,171,101,0,0,0,0,101,70
12003040201,1400000US12003040201,171,101,0,0,0,0,101,70
12003040201,1400000US12003040201,246,155,14,0,14,0,141,91
12003040201,1400000US12003040201,232,70,0,0,0,0,70,162
12003040202,1400000US12003040202,1396,809,75,40,35,0,734,587
12003040202,1400000US12003040202,1344,809,75,40,35,0,734,535
12003040202,1400000US12003040202,1344,809,75,40,35,0,734,535
12003040202,1400000US12003040202,1337,802,75,40,35,0,727,535
12003040202,1400000US12003040202,1337,802,75,40,35,0,727,535
12003040202,1400000US12003040202,253,170,13,13,0,0,157,83
12003040202,1400000US12003040202,196,93,0,0,0,0,93,103
12005000201,1400000US12005000201,1232,840,94,35,59,17,729,392
12005000201,1400000US12005000201,1144,787,94,35,59,17,676,357
12005000201,1400000US12005000201,1203,811,94,35,59,17,700,392
12005000201,1400000US12005000201,1122,787,94,35,59,17,676,335
12005000201,1400000US12005000201,1181,811,94,35,59,17,700,370
12005000202,1400000US12005000202,1559,925,146,78,68,11,768,634
12005000202,1400000US12005000202,1519,895,116,48,68,11,768,624
12005000202,1400000US12005000202,1529,895,116,48,68,11,768,634
12005000202,1400000US12005000202,1519,895,116,48,68,11,768,624
12005000202,1400000US12005000202,1529,895,116,48,68,11,768,634
12005000202,1400000US12005000202,340,138,40,26,14,0,98,202
12005000300,1400000US12005000300,2233,1417,212,106,106,0,1205,816
12005000300,1400000US12005000300,2174,1379,212,106,106,0,1167,795
12005000300,1400000US12005000300,2201,1396,212,106,106,0,1184,805
12005000300,1400000US12005000300,2159,1364,197,106,91,0,1167,795
12005000300,1400000US12005000300,2169,1364,197,106,91,0,1167,805
12005000300,1400000US12005000300,217,94,27,0,27,0,67,123
12005000300,1400000US12005000300,369,263,24,12,12,0,239,106
