GEO.id2,Id2
POPGROUP.id,Id
HD01_VD01,Estimate; Total plumbing:
HD01_VD02,Estimate; Total: - Complete plumbing facilities
HD01_VD03,Estimate; Total: - Lacking complete plumbing facilities
