GEO.id2,Id2
POPGROUP.id,Id
HD01_VD01,Estimate; Total SSI income:
HD01_VD02,Estimate; Total: - With Supplemental Security Income (SSI)
HD01_VD03,Estimate; Total: - No Supplemental Security Income (SSI)
