GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Id,Population Group,Estimate; Median family income in the past 12 months (in 2010 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2010 inflation-adjusted dollars)
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",001,Total population,18136,6596
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",002,White alone,43750,17106
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",003,White alone or in combination with one or more other races,43750,17106
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",004,Black or African American alone,17818,9687
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,17818,9687
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",451,"White alone, not Hispanic or Latino",27417,36280
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",27417,36280
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",17818,9687
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",17818,9687
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",001,Total population,59331,14170
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",002,White alone,63393,18087
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",003,White alone or in combination with one or more other races,59826,18954
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",451,"White alone, not Hispanic or Latino",63393,31471
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",59826,31043
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",001,Total population,42019,14220
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",002,White alone,45893,24379
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",003,White alone or in combination with one or more other races,47232,24691
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",451,"White alone, not Hispanic or Latino",45893,32949
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",47232,33241
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",001,Total population,45576,5200
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",002,White alone,51922,2790
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",003,White alone or in combination with one or more other races,52127,2829
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",004,Black or African American alone,39754,7793
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,40000,7489
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",451,"White alone, not Hispanic or Latino",52369,2823
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",52609,3422
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",39754,7793
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",40000,7489
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",001,Total population,46346,9001
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",002,White alone,54485,11941
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",003,White alone or in combination with one or more other races,54485,11941
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",451,"White alone, not Hispanic or Latino",54485,11941
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",54485,11941
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",001,Total population,25576,4912
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",004,Black or African American alone,23646,5874
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,23819,5888
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",24688,6142
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",24861,6142
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",001,Total population,32250,8543
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",002,White alone,41944,5011
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",003,White alone or in combination with one or more other races,41944,5011
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",004,Black or African American alone,31600,5464
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,31600,5464
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",451,"White alone, not Hispanic or Latino",42401,5405
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",42401,5405
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",31600,5464
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",31600,5464
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",001,Total population,54531,39000
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",002,White alone,62846,53991
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",003,White alone or in combination with one or more other races,62692,64942
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",451,"White alone, not Hispanic or Latino",63096,45033
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",62942,50560
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",001,Total population,41458,18677
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",002,White alone,50833,30383
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",003,White alone or in combination with one or more other races,50833,20078
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",012,Asian alone (400-499),20385,12030
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",031,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",20769,9612
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",451,"White alone, not Hispanic or Latino",56667,27724
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",55556,24094
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",457,"Asian alone, not Hispanic or Latino",20385,12030
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",458,"Asian alone or in combination with one or more other races, not Hispanic or Latino",20769,9612
1400000US12001000809,12001000809,"Census Tract 8.09, Alachua County, Florida",001,Total population,33934,15752
1400000US12001000809,12001000809,"Census Tract 8.09, Alachua County, Florida",002,White alone,38649,19485
1400000US12001000809,12001000809,"Census Tract 8.09, Alachua County, Florida",003,White alone or in combination with one or more other races,38649,19485
1400000US12001000809,12001000809,"Census Tract 8.09, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",50121,27310
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",001,Total population,17880,5140
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",002,White alone,16865,8169
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",003,White alone or in combination with one or more other races,16131,3688
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",012,Asian alone (400-499),24625,10601
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",031,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",24625,10601
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",451,"White alone, not Hispanic or Latino",24653,23317
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",12955,28628
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",457,"Asian alone, not Hispanic or Latino",24625,10601
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",458,"Asian alone or in combination with one or more other races, not Hispanic or Latino",24625,10601
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",001,Total population,17404,25376
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",002,White alone,14688,50141
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",003,White alone or in combination with one or more other races,14688,50141
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",004,Black or African American alone,14250,8703
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,14250,8703
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",031,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",42000,43395
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",400,Hispanic or Latino (of any race) (200-299),-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",451,"White alone, not Hispanic or Latino",-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",14250,8703
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",14250,8703
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",458,"Asian alone or in combination with one or more other races, not Hispanic or Latino",42000,43395
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",464,"White alone, Hispanic or Latino",-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",465,"White alone or in combination with one or more other races, Hispanic or Latino",-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",535,German (032-045),-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",541,"Irish (050, 081)",-,**
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",001,Total population,94091,21678
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",002,White alone,95625,19362
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",003,White alone or in combination with one or more other races,95625,19362
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",451,"White alone, not Hispanic or Latino",95938,18271
