GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1000000US120730025101011,120730025101011,"Block 1011, Block Group 1, Census Tract 25.10, Leon County, Florida",94,43,6,6,2,5,1,0,1,2,1,2,2,3,0,2,4,3,1,0,1,0,0,1,0,51,3,0,7,4,2,2,2,1,0,5,3,4,3,4,4,1,0,1,0,2,0,2,1
1000000US120730025101012,120730025101012,"Block 1012, Block Group 1, Census Tract 25.10, Leon County, Florida",136,67,6,5,6,4,3,0,1,4,5,6,4,7,3,4,1,2,1,1,3,1,0,0,0,69,3,5,1,3,3,0,0,4,4,12,6,6,4,6,4,0,2,1,1,3,0,1,0
1000000US120730025101013,120730025101013,"Block 1013, Block Group 1, Census Tract 25.10, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730025101014,120730025101014,"Block 1014, Block Group 1, Census Tract 25.10, Leon County, Florida",67,29,8,3,0,0,0,3,0,1,1,2,5,1,1,1,0,0,2,0,0,0,0,1,0,38,1,6,1,0,0,1,0,5,6,5,2,3,2,2,0,2,0,0,0,0,0,2,0
1000000US120730025101015,120730025101015,"Block 1015, Block Group 1, Census Tract 25.10, Leon County, Florida",90,43,5,2,3,1,0,1,0,1,3,6,3,0,5,5,1,1,3,2,0,1,0,0,0,47,1,2,3,4,0,0,2,0,3,4,4,2,5,4,5,1,2,0,0,3,0,1,1
1000000US120730025101016,120730025101016,"Block 1016, Block Group 1, Census Tract 25.10, Leon County, Florida",41,22,2,5,0,0,1,0,0,1,1,4,2,2,0,2,0,1,0,0,0,1,0,0,0,19,1,1,2,1,0,1,0,1,2,1,1,3,3,0,1,0,0,1,0,0,0,0,0
1000000US120730025101017,120730025101017,"Block 1017, Block Group 1, Census Tract 25.10, Leon County, Florida",28,15,2,1,0,1,0,0,0,0,2,0,1,1,1,3,1,0,0,1,0,0,0,1,0,13,0,0,0,0,1,0,0,0,1,0,1,1,3,3,2,0,0,1,0,0,0,0,0
1000000US120730025101018,120730025101018,"Block 1018, Block Group 1, Census Tract 25.10, Leon County, Florida",7,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1000000US120730025102000,120730025102000,"Block 2000, Block Group 2, Census Tract 25.10, Leon County, Florida",55,31,3,2,2,1,0,0,1,2,0,2,1,4,2,2,3,0,0,1,0,3,0,1,1,24,0,1,2,0,1,0,0,0,1,2,1,1,3,1,2,1,1,2,1,1,1,1,1
1000000US120730025102001,120730025102001,"Block 2001, Block Group 2, Census Tract 25.10, Leon County, Florida",7,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
1000000US120730025102002,120730025102002,"Block 2002, Block Group 2, Census Tract 25.10, Leon County, Florida",120,59,3,4,4,3,1,0,1,3,3,3,3,1,2,4,12,0,2,3,2,5,0,0,0,61,3,4,1,1,1,1,0,2,3,2,4,5,5,4,5,0,6,2,7,3,1,0,1
1000000US120730025102003,120730025102003,"Block 2003, Block Group 2, Census Tract 25.10, Leon County, Florida",15,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,0,1,0,0
1000000US120730025102004,120730025102004,"Block 2004, Block Group 2, Census Tract 25.10, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730025102005,120730025102005,"Block 2005, Block Group 2, Census Tract 25.10, Leon County, Florida",220,95,7,2,3,5,1,1,0,3,12,3,6,6,3,7,8,8,5,0,2,2,7,3,1,125,9,4,6,3,2,1,1,4,9,11,9,7,7,12,14,5,5,4,1,3,4,2,2
1000000US120730025102006,120730025102006,"Block 2006, Block Group 2, Census Tract 25.10, Leon County, Florida",34,15,0,2,1,0,1,0,0,0,1,4,0,1,0,1,2,1,0,0,0,1,0,0,0,19,1,0,1,0,0,1,0,0,4,3,0,2,1,2,2,1,0,0,1,0,0,0,0
1000000US120730025102007,120730025102007,"Block 2007, Block Group 2, Census Tract 25.10, Leon County, Florida",60,25,3,1,0,0,0,0,0,3,4,3,3,1,1,2,1,0,0,1,0,1,0,1,0,35,3,3,0,1,0,0,2,0,5,5,2,1,1,0,3,1,3,1,1,1,2,0,0
