GEO.id2,Id2
POPGROUP.id,Id
HD01_VD01,Estimate; Per capita income in the past 12 months (in 2010 inflation-adjusted dollars)
HD02_VD01,Margin of Error; Per capita income in the past 12 months (in 2010 inflation-adjusted dollars)
